id,station,date,prcp,tobs
2364,USC00519397,2016-08-23,0.0,81.0
8825,USC00517948,2016-08-23,,80.0
14608,USC00519281,2016-08-23,1.79,77.0
7331,USC00514830,2016-08-23,0.05,80.0
5091,USC00513117,2016-08-23,0.15,76.0
19202,USC00516128,2016-08-23,0.7,74.0
11851,USC00519523,2016-08-23,0.02,80.0
2365,USC00519397,2016-08-24,0.08,79.0
14609,USC00519281,2016-08-24,2.15,77.0
7332,USC00514830,2016-08-24,2.28,80.0
8826,USC00517948,2016-08-24,,78.0
19203,USC00516128,2016-08-24,1.45,74.0
11852,USC00519523,2016-08-24,1.22,79.0
5092,USC00513117,2016-08-24,2.15,76.0
2366,USC00519397,2016-08-25,0.08,80.0
7333,USC00514830,2016-08-25,0.0,81.0
11853,USC00519523,2016-08-25,0.21,80.0
14610,USC00519281,2016-08-25,0.06,80.0
8827,USC00517948,2016-08-25,0.0,81.0
19204,USC00516128,2016-08-25,0.11,77.0
5093,USC00513117,2016-08-25,0.08,77.0
5094,USC00513117,2016-08-26,0.03,78.0
14611,USC00519281,2016-08-26,0.01,80.0
11854,USC00519523,2016-08-26,0.0,84.0
8828,USC00517948,2016-08-26,0.04,81.0
7334,USC00514830,2016-08-26,0.02,81.0
2367,USC00519397,2016-08-26,0.0,79.0
5095,USC00513117,2016-08-27,0.18,73.0
14612,USC00519281,2016-08-27,0.12,75.0
2368,USC00519397,2016-08-27,0.0,77.0
11855,USC00519523,2016-08-27,0.0,81.0
7335,USC00514830,2016-08-27,0.02,81.0
19205,USC00516128,2016-08-27,,74.0
14613,USC00519281,2016-08-28,0.6,73.0
7336,USC00514830,2016-08-28,0.14,81.0
2369,USC00519397,2016-08-28,0.01,78.0
11856,USC00519523,2016-08-28,0.14,80.0
5096,USC00513117,2016-08-28,0.14,73.0
19206,USC00516128,2016-08-28,2.07,71.0
2370,USC00519397,2016-08-29,0.0,78.0
8829,USC00517948,2016-08-29,,80.0
7337,USC00514830,2016-08-29,0.04,80.0
11857,USC00519523,2016-08-29,0.0,79.0
5097,USC00513117,2016-08-29,0.17,78.0
19207,USC00516128,2016-08-29,0.9,78.0
14614,USC00519281,2016-08-29,0.35,78.0
14615,USC00519281,2016-08-30,0.0,77.0
8830,USC00517948,2016-08-30,0.02,79.0
5098,USC00513117,2016-08-30,0.0,76.0
19208,USC00516128,2016-08-30,0.05,75.0
2371,USC00519397,2016-08-30,0.0,79.0
11858,USC00519523,2016-08-30,0.0,78.0
5099,USC00513117,2016-08-31,0.1,77.0
7338,USC00514830,2016-08-31,,80.0
14616,USC00519281,2016-08-31,0.24,78.0
2372,USC00519397,2016-08-31,0.13,80.0
8831,USC00517948,2016-08-31,,79.0
19209,USC00516128,2016-08-31,2.46,76.0
11859,USC00519523,2016-08-31,0.25,78.0
7339,USC00514830,2016-09-01,0.0,82.0
14617,USC00519281,2016-09-01,0.02,80.0
2373,USC00519397,2016-09-01,0.0,81.0
8832,USC00517948,2016-09-01,,82.0
19210,USC00516128,2016-09-01,0.01,77.0
5100,USC00513117,2016-09-01,0.0,79.0
2374,USC00519397,2016-09-02,0.0,80.0
19211,USC00516128,2016-09-02,0.03,75.0
5101,USC00513117,2016-09-02,0.02,78.0
11860,USC00519523,2016-09-02,,81.0
8833,USC00517948,2016-09-02,,81.0
14618,USC00519281,2016-09-02,0.01,80.0
7340,USC00514830,2016-09-02,0.19,81.0
19212,USC00516128,2016-09-03,1.0,75.0
11861,USC00519523,2016-09-03,0.08,78.0
14619,USC00519281,2016-09-03,0.12,78.0
2375,USC00519397,2016-09-03,0.0,79.0
5102,USC00513117,2016-09-03,0.07,77.0
5103,USC00513117,2016-09-04,0.03,75.0
14620,USC00519281,2016-09-04,0.14,78.0
11862,USC00519523,2016-09-04,0.74,84.0
2376,USC00519397,2016-09-04,0.03,75.0
19213,USC00516128,2016-09-04,0.44,73.0
11863,USC00519523,2016-09-05,0.02,84.0
14621,USC00519281,2016-09-05,0.03,78.0
5104,USC00513117,2016-09-05,0.11,78.0
7341,USC00514830,2016-09-05,,82.0
2377,USC00519397,2016-09-05,,79.0
19214,USC00516128,2016-09-05,0.18,76.0
2378,USC00519397,2016-09-06,,76.0
5105,USC00513117,2016-09-06,0.05,74.0
11864,USC00519523,2016-09-06,0.03,78.0
19215,USC00516128,2016-09-06,1.0,73.0
14622,USC00519281,2016-09-06,0.11,73.0
7342,USC00514830,2016-09-06,0.04,80.0
14623,USC00519281,2016-09-07,0.16,74.0
2379,USC00519397,2016-09-07,0.05,76.0
11865,USC00519523,2016-09-07,0.11,76.0
5106,USC00513117,2016-09-07,0.1,75.0
19216,USC00516128,2016-09-07,1.35,74.0
7343,USC00514830,2016-09-07,0.23,80.0
14624,USC00519281,2016-09-08,0.07,80.0
11866,USC00519523,2016-09-08,0.01,79.0
19217,USC00516128,2016-09-08,0.15,74.0
5107,USC00513117,2016-09-08,0.22,77.0
7344,USC00514830,2016-09-08,0.01,81.0
8834,USC00517948,2016-09-08,,80.0
2380,USC00519397,2016-09-08,0.0,80.0
11867,USC00519523,2016-09-09,0.23,77.0
19218,USC00516128,2016-09-09,0.35,75.0
7345,USC00514830,2016-09-09,0.29,77.0
