id,station,date,prcp,tobs
14608,USC00519281,2016-08-23,1.79,77.0
14609,USC00519281,2016-08-24,2.15,77.0
14610,USC00519281,2016-08-25,0.06,80.0
14611,USC00519281,2016-08-26,0.01,80.0
14612,USC00519281,2016-08-27,0.12,75.0
14613,USC00519281,2016-08-28,0.6,73.0
14614,USC00519281,2016-08-29,0.35,78.0
14615,USC00519281,2016-08-30,0.0,77.0
14616,USC00519281,2016-08-31,0.24,78.0
14617,USC00519281,2016-09-01,0.02,80.0
14618,USC00519281,2016-09-02,0.01,80.0
14619,USC00519281,2016-09-03,0.12,78.0
14620,USC00519281,2016-09-04,0.14,78.0
14621,USC00519281,2016-09-05,0.03,78.0
14622,USC00519281,2016-09-06,0.11,73.0
14623,USC00519281,2016-09-07,0.16,74.0
14624,USC00519281,2016-09-08,0.07,80.0
14625,USC00519281,2016-09-09,0.16,79.0
14626,USC00519281,2016-09-10,0.09,77.0
14627,USC00519281,2016-09-11,0.3,80.0
14628,USC00519281,2016-09-12,0.31,76.0
14629,USC00519281,2016-09-13,0.34,79.0
14630,USC00519281,2016-09-14,2.33,75.0
14631,USC00519281,2016-09-15,0.83,79.0
14632,USC00519281,2016-09-16,0.06,78.0
14633,USC00519281,2016-09-17,0.36,79.0
14634,USC00519281,2016-09-18,0.07,78.0
14635,USC00519281,2016-09-19,0.01,78.0
14636,USC00519281,2016-09-20,0.22,76.0
14637,USC00519281,2016-09-21,0.07,74.0
14638,USC00519281,2016-09-22,0.34,77.0
14639,USC00519281,2016-09-23,0.94,78.0
14640,USC00519281,2016-09-24,0.01,79.0
14641,USC00519281,2016-09-25,0.03,79.0
14642,USC00519281,2016-09-26,0.17,77.0
14643,USC00519281,2016-09-27,0.17,80.0
14644,USC00519281,2016-09-28,0.0,78.0
14645,USC00519281,2016-09-29,0.59,78.0
14646,USC00519281,2016-09-30,0.25,78.0
14647,USC00519281,2016-10-01,0.14,77.0
14648,USC00519281,2016-10-02,0.06,79.0
14649,USC00519281,2016-10-03,0.16,79.0
14650,USC00519281,2016-10-04,0.03,79.0
14651,USC00519281,2016-10-05,0.01,79.0
14652,USC00519281,2016-10-06,0.0,75.0
14653,USC00519281,2016-10-07,0.0,76.0
14654,USC00519281,2016-10-08,0.0,73.0
14655,USC00519281,2016-10-09,0.0,72.0
14656,USC00519281,2016-10-10,0.0,71.0
14657,USC00519281,2016-10-11,0.28,77.0
14658,USC00519281,2016-10-12,0.03,79.0
14659,USC00519281,2016-10-13,0.0,78.0
14660,USC00519281,2016-10-14,0.0,79.0
14661,USC00519281,2016-10-15,0.04,77.0
14662,USC00519281,2016-10-16,0.0,79.0
14663,USC00519281,2016-10-17,0.01,77.0
14664,USC00519281,2016-10-18,0.02,78.0
14665,USC00519281,2016-10-19,0.11,78.0
14666,USC00519281,2016-10-20,0.0,78.0
14667,USC00519281,2016-10-21,0.0,78.0
14668,USC00519281,2016-10-22,0.15,77.0
14669,USC00519281,2016-10-23,0.02,74.0
14670,USC00519281,2016-10-24,0.08,75.0
14671,USC00519281,2016-10-25,0.11,76.0
14672,USC00519281,2016-10-26,0.01,73.0
14673,USC00519281,2016-10-27,0.22,76.0
14674,USC00519281,2016-10-28,0.05,74.0
14675,USC00519281,2016-10-29,0.1,77.0
14676,USC00519281,2016-10-30,0.16,76.0
14677,USC00519281,2016-10-31,0.07,76.0
14678,USC00519281,2016-11-01,0.1,74.0
14679,USC00519281,2016-11-02,0.0,75.0
14680,USC00519281,2016-11-03,0.0,75.0
14681,USC00519281,2016-11-04,0.0,75.0
14682,USC00519281,2016-11-05,0.03,75.0
14683,USC00519281,2016-11-06,0.01,71.0
14684,USC00519281,2016-11-07,0.0,63.0
